asin,prodName,numStars,numView,price
B06Y62H8YR,Fujifilm Instax Mini 9 Kamera smoky weiß,"4,4",277,"EUR 67,99"
B06XJ49G5B,"Samsung Galaxy S8 Smartphone (5,8 Zoll (14,7 cm) Touch-Display, 64GB interner Speicher, Android OS) midnight black","4,0",490,"EUR 458,00"
B01BTZFQX0,"Samsung Galaxy S7 Smartphone (5,1 Zoll (12,9 cm) Touch-Display, 32GB interner Speicher, Android OS) gold","3,8",1.065,"EUR 307,00"
B015PQKIGO,Fujifilm Instax Mini Film Bundle Pack (60 Aufnahmen),"4,8",8,"EUR 48,05"
B01NAGV058,"[3 Stück]OMOTON Panzerglas Schutzfolie für Samsung Gear S3 frontier und Gear S3 Classic, 9H Härte, Anti-Kratzen, Anti-Öl, Anti-Bläschen,lebenslange Garantie","4,8",393,"EUR 7,99"
B07CZZ6HXF,"Makibes Fitness Tracker, Fitness Armbänder Pulsmesser IP67 Wasserdicht mit Schlafmonitor Kalorienzähler Vibrationsalarm Anruf Whatsapp Kompatibel mit iPhone Android","4,8",34,"EUR 23,99"
B018Z358JG,"Zubehör für Gopro, ccbetter Action Kamerahalterungen für Gopro Ｈero 2018 Ｈero 6 Hero 4 Hero 5 Session Hero 1 2 3 3+ für die meisten Sportkameras mit Fall (Schwarz)","4,1",558,"EUR 23,95"
B01M3015CT,"Fire HD 10-Tablet mit Alexa Hands-free, 25,65 cm (10,1 Zoll) 1080p Full HD-Display, 32 GB, schwarz, mit Spezialangeboten","4,0",1.049,"EUR 149,99"
B01HI36TYM,Microsoft Office Professional Plus 2016 - Vollversion - ESD - 32/64 Bit,"4,3",6,
B076CJFW9C,"Huawei Mate 10 lite Dual-Sim Smartphone (14,97 cm (5,9 Zoll), 64GB interner Speicher, Android 7.0) graphite schwarz","4,3",308,"EUR 238,00"
B074M41SXQ,"Hülle für iPhone 6 6S, FayTun Handyhülle für iPhone 6 6S-Ultra Dünn Soft Silikon Schutzhülle- Schutz vor Fingerabdruck,Staub und Scratch- Stoßfest FeinMatt TPU Case für iPhone 6 6S 4.7 Zoll Schwarz","4,3",207,"EUR 7,50"
B01ETRGSPA,"Fire TV Stick mit Alexa-Sprachfernbedienung, Zertifiziert und generalüberholt","4,1",80,"EUR 36,99"
B01N011RPS,Xiaomi Mi Band 2 Fitnessarmband IP67 Pulsmessung Schrittzähler Activity Tracker,"3,8",222,"EUR 22,75"
B01MRZZM32,Mpow Bluetooth 4.1 Empfänger audio adapter für stereoanlage Heim HiFi Auto Lautsprecher Musikstreaming-Soundsystem mit 3.5mm Aux Cinch Kabel,"4,3",387,"EUR 15,99"
B01JS00NFE,APEMAN Action Kamera Wifi Sports Cam 4K Camera 20MP Ultra Full HD Unterwasserkamera Helmkamera Wasserdicht mit 2 verbesserten Batterien Transporttasche und kostenlose Accessoires,"4,2",904,"EUR 85,99"
B06XCJP94G,"Samsung Galaxy Xcover 4 Smartphone (12,67 cm (5 Zoll) Touch-Display, 16 GB Speicher, Android 7,0 Nougat) schwarz","3,3",201,"EUR 169,99"
B073TTWRXG,"DR.Q (2018 Upgraded) Beamer + 20% Lumen Beamer mit 170"" Display, 40000 Stunden, Videoprojektor 1080P, Verbindung mit TV Stick HDMI VGA USB AV TF Gerät, mit HDMI und AV Kabel, Weiß.","4,3",434,"EUR 79,99"
B07DCSFKDZ,"2er Pack Sony Konion US18650VTC6 18650 Akku - Li-Ion/3,7V/30A/3120mAh - US18650 VTC6 in litriX Box für 18650 Akkus","5,0",5,"EUR 14,70"
